function,path,wrapper,declared_tier,has_resource_scope_check,has_permission_leaf_check,uses_service_client_directly,gaps
push-subscribe,supabase/functions/push-subscribe/index.ts,serveAuthenticated,"org (authenticated user)",no,no,yes,""
push-unsubscribe,supabase/functions/push-unsubscribe/index.ts,serveAuthenticated,"org (authenticated user)",no,no,yes,""
query-cache-sweep-cron,supabase/functions/query-cache-sweep-cron/index.ts,serveCronPost,"cron (secret-gated)",no,no,no,""
reassess-org-superhost,supabase/functions/reassess-org-superhost/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
reject-listing-authorization,supabase/functions/reject-listing-authorization/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
reject-org-verification,supabase/functions/reject-org-verification/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
reopen-support-ticket,supabase/functions/reopen-support-ticket/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
reply-support-ticket,supabase/functions/reply-support-ticket/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
reply-support-ticket-admin,supabase/functions/reply-support-ticket-admin/index.ts,serveSuperAdmin,"super-admin",no,no,yes,"MISSING-resource-scope-check"
request-parking-endorsement,supabase/functions/request-parking-endorsement/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
resolve-owner-default-parking,supabase/functions/resolve-owner-default-parking/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
sd-refund-cron,supabase/functions/sd-refund-cron/index.ts,RAW serve(),"UNKNOWN (raw serve)",yes,no,no,"raw-serve-not-audited-by-doc18-allowlist-here"
search-listings,supabase/functions/search-listings/index.ts,servePublic,"guest-anon",no,no,yes,"MISSING-resource-scope-check"
search-suggestions,supabase/functions/search-suggestions/index.ts,servePublic,"guest-anon",no,no,yes,"MISSING-resource-scope-check"
send-booking-workflow-email,supabase/functions/send-booking-workflow-email/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
send-parking-reminders,supabase/functions/send-parking-reminders/index.ts,serveCronPost,"cron (secret-gated)",no,no,no,""
send-sd-refund-form-email,supabase/functions/send-sd-refund-form-email/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
settings-verification,supabase/functions/settings-verification/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
setup-guide-state,supabase/functions/setup-guide-state/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
smart-pricing-apply,supabase/functions/smart-pricing-apply/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
smart-pricing-cron,supabase/functions/smart-pricing-cron/index.ts,serveCronPost,"cron (secret-gated)",no,no,yes,""
smart-pricing-preview,supabase/functions/smart-pricing-preview/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
smart-pricing-settings,supabase/functions/smart-pricing-settings/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
social-inbox-ai-suggest,supabase/functions/social-inbox-ai-suggest/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
social-inbox-messages,supabase/functions/social-inbox-messages/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
social-inbox-send,supabase/functions/social-inbox-send/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
social-inbox-settings,supabase/functions/social-inbox-settings/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
social-inbox-templates,supabase/functions/social-inbox-templates/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
social-inbox-threads,supabase/functions/social-inbox-threads/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
submit-contract-consideration,supabase/functions/submit-contract-consideration/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
submit-form,supabase/functions/submit-form/index.ts,RAW serve(),"UNKNOWN (raw serve)",yes,no,yes,"raw-serve-not-audited-by-doc18-allowlist-here"
submit-form-completion,supabase/functions/submit-form-completion/index.ts,RAW serve(),"UNKNOWN (raw serve)",yes,no,no,"raw-serve-not-audited-by-doc18-allowlist-here"
submit-guest-review,supabase/functions/submit-guest-review/index.ts,servePublic,"guest-anon",yes,yes,no,""
submit-listing-authorization,supabase/functions/submit-listing-authorization/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
submit-listing-recommended,supabase/functions/submit-listing-recommended/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
submit-org-verification,supabase/functions/submit-org-verification/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
submit-parking-booking-request,supabase/functions/submit-parking-booking-request/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,yes,""
submit-pay-parking,supabase/functions/submit-pay-parking/index.ts,RAW serve(),"UNKNOWN (raw serve)",no,no,no,"raw-serve-not-audited-by-doc18-allowlist-here; MISSING-resource-scope-check"
submit-sd-form,supabase/functions/submit-sd-form/index.ts,RAW serve(),"UNKNOWN (raw serve)",yes,no,no,"raw-serve-not-audited-by-doc18-allowlist-here"
submit-support-ticket,supabase/functions/submit-support-ticket/index.ts,serveAuthenticated,"org (authenticated user)",yes,no,no,""
super-admin-ai-usage,supabase/functions/super-admin-ai-usage/index.ts,serveSuperAdmin,"super-admin",no,no,yes,"MISSING-resource-scope-check"
super-admin-overview,supabase/functions/super-admin-overview/index.ts,serveSuperAdmin,"super-admin",no,no,yes,"MISSING-resource-scope-check"
super-admin-search,supabase/functions/super-admin-search/index.ts,serveSuperAdmin,"super-admin",no,no,yes,"MISSING-resource-scope-check"
super-admin-verification,supabase/functions/super-admin-verification/index.ts,serveSuperAdmin,"super-admin",no,no,yes,"MISSING-resource-scope-check"
superhost-assessment-cron,supabase/functions/superhost-assessment-cron/index.ts,RAW serve(),"UNKNOWN (raw serve)",yes,no,yes,"raw-serve-not-audited-by-doc18-allowlist-here"
telegram-admin-cron,supabase/functions/telegram-admin-cron/index.ts,serveCronPost,"cron (secret-gated)",no,no,no,""
